"POLITICAL_UNIT","NAME","WGMS_ID","GEN_LOCATION","SPEC_LOCATION","LATITUDE","LONGITUDE","PRIM_CLASSIFIC","FORM","FRONTAL_CHARS","EXPOS_ACC_AREA","EXPOS_ABL_AREA","PARENT_GLACIER","REMARKS","GLACIER_REGION_CODE","GLACIER_SUBREGION_CODE"
"AF","UNNAMED 15982",15982,,,37.02550,74.40780,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15983",15983,,,36.98880,74.31860,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15987",15987,,,36.99950,74.53630,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15988",15988,,,37.01830,74.44710,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15991",15991,,,36.97750,74.15140,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15992",15992,,,36.97260,74.10890,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15993",15993,,,36.99790,74.04040,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15994",15994,,,37.00670,73.97160,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15995",15995,,,36.96290,74.04980,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16005",16005,,,36.97610,74.00160,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16010",16010,,,36.93120,74.18290,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16012",16012,,,36.97150,74.34520,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16013",16013,,,36.95120,73.81280,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16014",16014,,,36.96620,74.16590,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16018",16018,,,36.92180,74.23960,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16022",16022,,,36.91240,73.64410,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16027",16027,,,36.92100,73.68840,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16028",16028,,,36.91740,73.62610,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16029",16029,,,36.92000,74.07860,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16034",16034,,,36.93060,73.84240,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16035",16035,,,36.92650,74.04670,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16036",16036,,,36.91690,73.90800,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16037",16037,,,36.89710,74.14200,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16039",16039,,,36.92080,73.87340,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16040",16040,,,36.91890,73.83980,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16042",16042,,,36.90770,73.72650,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16046",16046,,,36.90680,73.91620,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16047",16047,,,36.90230,73.50710,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16050",16050,,,36.89880,73.80750,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16056",16056,,,36.87610,73.92070,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16057",16057,,,36.88510,73.53070,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16066",16066,,,36.85480,74.11300,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16082",16082,,,36.85090,74.07720,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16086",16086,,,36.84470,73.98810,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16089",16089,,,36.83590,74.03390,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16516",16516,,,37.03370,74.53250,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 16530",16530,,,36.89460,73.88980,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17193",17193,,,37.01600,74.47330,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17195",17195,,,37.01210,74.41560,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17197",17197,,,36.95240,74.16870,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17198",17198,,,36.98660,74.11900,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17712",17712,,,37.09883,74.44144,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17713",17713,,,37.12896,74.38570,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17714",17714,,,37.09448,74.30329,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17715",17715,,,37.09461,74.32674,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17716",17716,,,37.12942,74.28781,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17717",17717,,,37.12185,74.24168,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17718",17718,,,37.13527,74.22878,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17719",17719,,,37.11241,74.28065,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17720",17720,,,37.06992,74.27058,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17721",17721,,,37.28126,74.67294,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17722",17722,,,37.10474,74.38222,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17723",17723,,,37.11273,74.31601,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17724",17724,,,37.11580,74.33699,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17725",17725,,,37.12625,74.34997,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17726",17726,,,37.14604,74.27328,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17727",17727,,,37.15953,74.24664,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17728",17728,,,37.15767,74.25623,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17729",17729,,,37.09583,74.24677,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17730",17730,,,37.09284,74.21492,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17731",17731,,,37.08209,74.25758,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 17732",17732,,,36.92530,73.25285,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17733",17733,,,36.89751,72.96677,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17734",17734,,,36.87098,72.91830,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17735",17735,,,36.87411,73.00682,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17771",17771,,,36.90137,73.26233,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17772",17772,,,36.91337,73.21455,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17785",17785,,,36.85908,72.89416,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17786",17786,,,36.85999,72.84978,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17787",17787,,,36.85620,72.71550,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17788",17788,,,36.89122,72.64288,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17789",17789,,,36.88348,72.54163,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17790",17790,,,36.85380,72.60098,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17791",17791,,,36.80820,72.39884,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17797",17797,,,36.86036,72.42244,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17798",17798,,,36.82179,72.51759,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17799",17799,,,36.81092,72.47181,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17800",17800,,,36.88724,72.62959,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17801",17801,,,36.87374,72.76769,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17803",17803,,,36.86745,72.80460,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17823",17823,,,36.47127,71.78984,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17824",17824,,,36.44030,71.56401,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17825",17825,,,36.42430,71.47758,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17826",17826,,,36.44662,71.53281,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17827",17827,,,36.46173,71.55759,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17828",17828,,,36.48050,71.60168,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17829",17829,,,36.49334,71.64459,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17830",17830,,,36.54512,71.67693,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17831",17831,,,36.51218,71.85980,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17832",17832,,,36.52046,71.89327,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17833",17833,,,36.53511,71.91274,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17834",17834,,,36.54801,71.91519,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17835",17835,,,36.60164,71.84381,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17836",17836,,,36.61277,71.92352,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17837",17837,,,36.56701,71.94289,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17838",17838,,,36.57248,71.93144,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17839",17839,,,36.57369,71.96510,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17840",17840,,,36.63641,72.07743,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17841",17841,,,36.73397,72.17735,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17842",17842,,,36.72917,72.19587,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17843",17843,,,36.76267,72.27625,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17844",17844,,,36.78513,72.34606,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17845",17845,,,36.22932,71.33743,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17847",17847,,,36.21236,71.32776,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17848",17848,,,36.22359,71.30241,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17849",17849,,,36.21185,71.28403,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17850",17850,,,36.02831,71.14850,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17851",17851,,,35.66938,70.98813,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17894",17894,,,35.68251,70.98541,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17900",17900,,,36.75721,72.32146,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17901",17901,,,36.77189,72.23769,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17902",17902,,,36.74740,72.22775,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17905",17905,,,36.68477,72.17055,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17907",17907,,,36.66843,72.13799,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17908",17908,,,36.68067,72.13401,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17909",17909,,,36.66438,72.11082,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17910",17910,,,36.66357,72.08592,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17911",17911,,,36.57746,72.00093,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17916",17916,,,36.61508,72.04301,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17918",17918,,,36.59271,71.87917,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17924",17924,,,36.52940,71.69601,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17925",17925,,,36.44168,71.49997,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17936",17936,,,36.31164,70.41373,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17937",17937,,,35.78165,70.72401,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17938",17938,,,35.91395,70.78592,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17939",17939,,,35.81652,70.70128,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17940",17940,,,35.75228,70.64525,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17941",17941,,,35.73363,70.50960,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17942",17942,,,35.74536,70.51411,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17943",17943,,,35.77054,70.53247,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17944",17944,,,35.78276,70.51940,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17945",17945,,,35.83803,70.50723,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17946",17946,,,35.73486,70.48941,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17947",17947,,,36.31169,70.91853,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17948",17948,,,36.27553,70.96454,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17949",17949,,,36.22050,70.96172,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17950",17950,,,36.23031,71.00246,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17951",17951,,,36.24998,70.99671,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17952",17952,,,36.18692,71.01682,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17953",17953,,,36.15198,71.00178,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17954",17954,,,36.37146,70.56502,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17955",17955,,,36.37806,70.54983,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17956",17956,,,36.38194,70.52743,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17957",17957,,,36.28391,70.48716,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17958",17958,,,36.26041,70.45160,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17959",17959,,,36.24750,70.48122,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17960",17960,,,36.21065,70.48778,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17961",17961,,,36.19881,70.47241,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17962",17962,,,36.21738,70.45464,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17963",17963,,,36.20882,70.39677,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17964",17964,,,36.23484,70.36376,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
"AF","UNNAMED 17965",17965,,,36.30703,70.48124,,,,,,,"Information derived from RGI5.0.","ASW","ASW-01"
